,precision,recall,f1-score,support
App metadata,1.0,0.35714285714285715,0.5263157894736842,28.0
App usage data,0.6956521739130435,0.8093385214007782,0.7482014388489209,514.0
E-commerce data,0.0,0.0,0.0,13.0
Event information,1.0,0.5,0.6666666666666666,10.0
Files and documents,0.6666666666666666,0.43373493975903615,0.5255474452554745,83.0
Finance information,1.0,0.14285714285714285,0.25,28.0
Food and nutrition information,0.0,0.0,0.0,7.0
Gaming data,0.0,0.0,0.0,5.0
Health information,1.0,0.4375,0.6086956521739131,16.0
Identifier,0.8547854785478548,0.6851851851851852,0.7606461086637298,378.0
Legal and law enforcement data,0.0,0.0,0.0,5.0
Location,0.8688524590163934,0.7571428571428571,0.8091603053435115,140.0
Market data,0.9090909090909091,0.8108108108108109,0.8571428571428571,74.0
Message,0.8181818181818182,0.46153846153846156,0.5901639344262295,39.0
Other,0.36419753086419754,0.686046511627907,0.47580645161290325,344.0
Personal information,0.7666666666666667,0.5287356321839081,0.6258503401360545,87.0
Query,0.781021897810219,0.7561837455830389,0.7684021543985637,283.0
Real estate data,0.0,0.0,0.0,7.0
Security credentials,0.9545454545454546,0.7636363636363637,0.8484848484848485,55.0
Sports information,0.0,0.0,0.0,11.0
Time,0.893719806763285,0.8185840707964602,0.8545034642032333,226.0
Travel information,1.0,0.08333333333333333,0.15384615384615385,12.0
Vehicle information,1.0,0.375,0.5454545454545454,8.0
Weather information,1.0,0.2,0.3333333333333333,5.0
Web and network data,0.8872180451127819,0.6378378378378379,0.7421383647798742,185.0
accuracy,0.6894264533749512,0.6894264533749512,0.6894264533749512,0.6894264533749512
macro avg,0.6584239562871715,0.40978433083343907,0.46761439416977985,2563.0
weighted avg,0.7395465417213355,0.6894264533749512,0.6922087264940452,2563.0
