,precision,recall,f1-score,support
App metadata,0.45,0.6428571428571429,0.5294117647058824,28.0
App usage data,0.8459821428571429,0.7373540856031129,0.7879417879417879,514.0
E-commerce data,0.32,0.6153846153846154,0.42105263157894735,13.0
Event information,0.4090909090909091,0.9,0.5625,10.0
Files and documents,0.5,0.6746987951807228,0.5743589743589743,83.0
Finance information,0.4,0.6428571428571429,0.4931506849315068,28.0
Food and nutrition information,0.5,0.5714285714285714,0.5333333333333333,7.0
Gaming data,0.05555555555555555,0.2,0.08695652173913043,5.0
Health information,0.75,0.75,0.75,16.0
Identifier,0.9673202614379085,0.783068783068783,0.8654970760233918,378.0
Legal and law enforcement data,0.25,0.2,0.2222222222222222,5.0
Location,0.8413793103448276,0.8714285714285714,0.856140350877193,140.0
Market data,0.9041095890410958,0.8918918918918919,0.8979591836734694,74.0
Message,0.6,0.8461538461538461,0.7021276595744681,39.0
Other,0.5685714285714286,0.5784883720930233,0.5734870317002881,344.0
Personal information,0.6194690265486725,0.8045977011494253,0.7,87.0
Query,0.843065693430657,0.8162544169611308,0.829443447037702,283.0
Real estate data,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
Security credentials,0.8253968253968254,0.9454545454545454,0.8813559322033898,55.0
Sports information,0.375,0.2727272727272727,0.3157894736842105,11.0
Time,0.9070796460176991,0.9070796460176991,0.9070796460176991,226.0
Travel information,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
Vehicle information,0.5,0.75,0.6,8.0
Weather information,0.6666666666666666,0.8,0.7272727272727273,5.0
Web and network data,0.838150289017341,0.7837837837837838,0.8100558659217877,185.0
accuracy,0.7619976589933671,0.7619976589933671,0.7619976589933671,0.7619976589933671
macro avg,0.6134734937590691,0.6989441768854607,0.6422934297999017,2563.0
weighted avg,0.7872053753423018,0.7619976589933671,0.7697134216613044,2563.0
